"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"@TMobileHelp And that they need to buy new T-Mobile iPhones to switch?  Doesn't seem very Un-carrier like to lie to older Americans. | @291383 We're here for you, Taylor. Click on my picture to send a DM our way. https://t.co/lH0SH5fy2m *MikeRice"
"Ok @115858 this is the 2nd issue I’ve had with my new iPhone 8 on @115714. I think it’s a combo of hardware and software, but still. #wtf #fb | @292045 Hey there!  Please elaborate a little on the issue at hand. Please send us a DM, so that we can further assist you. - KP"
"@TMobileHelp was going to order beats headphones for my iphonex when it came out but they were oos. Now they are back, I can’t finance because I’m not ordering a phone? Please help! | @292272 Hi there Ben I will be more than happy to help you with this if I can just find out what headphones you where going to get ? we have a few different options for Beats *AvaisR"
@TMobileHelp how do I get my iPhone visual voicemail to work? It was working great until a couple of days ago. | @292273 Hi there my names Muhammed from T-Mobile. What will do is troubleshoot your phone and get this problem sorted. *MuhammedP
"@115911 hello, T-Mobile Tuesdays on my iPhone doesn’t work! Help me please. | @292326 We're here for you, Alessio! Gotta make sure you #GetThanked. DM us here so we can get you going again. *BlakeT"
@115911 how do can I upgrade to the iPhone 8? | @292570 Let's take a look into your upgrade options Fernanda! Send us a DM for assistance. *JasmineS
@sprintcare if I buy an iPhone from your site in full is it unlocked? So Can I switch out SIM cards like I would if I bought from Apple? | @119578 Glad to have you on board today. Are you referring if the device would be unlocked for domestic or international use? - AP
"@TMobileHelp how do I know if my iphone X is going to arrive this friday? i preordered on friday but payment didn't process until today | @266328 iPhoneX is coming soon!! Shoot me a DM for all order status updates!!

https://t.co/KQh917xfZf *SurDuaneMcGurn"
@TMobileHelp i have not been creditted my trade in phones.  They are marked as delivered. | @293480 Hiya there! Were these trade ins for the iPhone promo? Send us a DM and let's figure it out! *PhungDao
@115911 do you have pricing for the iPhone X? | @293481 Yessss we dooo! Send us a DM and we can get those numbers for ya! *ChanneyT
@sprintcare are ya gonna have deals for the iPhone x ? I'm not Tryna pay 1000$ ya feel me ? | @294280 Hi Mat! Keep updated with the latest on our iPhone X by visiting this link https://t.co/SCp7pfkaXH. Sprint cares! -KC
@sprintcare you got those real good data speeds on the iPhone 7 😂 https://t.co/owFsBoPtXn | @296016 That's great to hear that you love the speed of your new device! Is there anything that we can assist you with at this time? -MM
@115911 @TMobileHelp @115858 Ever since I Did this last update my iPhone 7 has been acting up🤔 | @294250 That's no good! Lets get that iPhone 7 running correctly. DM me! :) https://t.co/bwHAQCkoRc *DuncanWorks
"Hey @TMobileHelp can you give me the specifics on the Pixel deal you guys are running, please? #tmobile #GooglePixel2 #google #android | @297683 What an exciting offer! I'd be happy to help. Shoot me a DM so I can give you more information! *RileyRed"
"@115913 Hey Mr. Legere, what’s the JOD pricing gonna be on iPhone X? | @297995 @115913 JOD pricing isn't available just yet. Stay tuned and we'll hear more as it gets closer to launch! *RachaelTansey"
@sprintcare @115714 my connection has been acting funny ever since I went from an Android to an iPhone. Y’all need to fix it | @298203 Hi. This sounds like something we need to look into. Please DM us so we can further assist you. - WE
"@115911 @TMobileHelp preorders are this friday for the iPhone X and there is still no pricing on the JOD? | @299321 Never fear, #StellarSellers is here! I have #AllThePricing :) Send me a DM https://t.co/9IUH5Nit1g to get started :) *AmberSellers"
"Damn @115714. You’re making it real difficult for me to switch to Android... | @270566 Hey there, what seems to be the issue? -AS"
"I need that iPhone8 @115911 gone jump in the DM 💯 | @299787 Yup yup, hit us in the DM 😉 *ChanneyT"
@115913 Headed to T-Mobile to browse the iPhones and finally make the switch. Hook me up with some T-Mobile goodies? | @299871 @115913 Welcome to the #MagentaFam! Let me know if I can help with anything https://t.co/Nr93OTtXRx *TaylorBest
"@115714 thanks for awful customer service with unlocking my iPhone and offending me!! | @300300 Hello Tiffany! This concerns us. Was the reason of your call addressed? If not, please send us DM so that we can further assist you. -DS"
"Hey @115714 how many retweets for a rose gold iPhone SE? As my current iPhone 5s is junk an I really can’t afford a new phone | @133848 Also, let us know what issues are you experiencing with your device? Provide us with details through a DM. 2/2 -AF"
"Hey @115714 how many retweets for a rose gold iPhone SE? As my current iPhone 5s is junk an I really can’t afford a new phone | @133848 Hey! Let's help you out with this. Please, take a look into your upgrade eligibility here: https://t.co/jWa8KUT8A3 1/2 -AF"
@115911 When will there be JOD info on the #iPhoneX Trying to see how much money down I’m going to need. | @301928 No word yet. Stay tuned! *JasmineS
"So months ago i called @115911 to check location coverage of my move,they told me all would be just fine,then i bought a $1000 iphone,guess what no internet,now they refuse to refund my costs and i have a useless $1000 paperweight,A dozen agents and hours of wasted time | @213730 That’s not what I like to hear!  I have received your DM and we can continue there. Thank you! *TraceyFoster"
"@115714 steady getting over on me!!! How was I in the iPhone forever program there last 2 iPhones but not anymore🤔 | @183658 Let's review your account to further assist you. Please, refer to Direct Message. #Sprint -AJS"
"@115714 steady getting over on me!!! How was I in the iPhone forever program there last 2 iPhones but not anymore🤔 | @183658 This is concerning. Usually, cards are delivered to your billing account name and address. -AJS"
@115714 @sprintcare just when I start loving my new iPhone nothing but dropped calls driving over Laurel Canyon. Can’t u fix that yet? #Fail | @304349 We will be glad to check the towers for you.
"@115913 I have this iPhone that previous employer gave me but its locked on another carrier, how can I use it on my fam plan @115911 ? | @304692 @115913 Let's dive in and see what options would be available, Gar. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
"@115911 i see no where to print a shopping label so I can return this iPhone | @304693 Hey, there! Send us a DM, and we'll assist with your shipping label! *KellenF"
"@TMobileHelp Is there any reason y'all are aware of that an iPhone would report ""call failed"" on calls that are hung up on by caller? | @304883 Mine does that too! Send me a DM and we can chat a bit more about this! https://t.co/iq4B8dCJFx *JessicaBrenhaug"
@115913 yo if I trade in my iPhone 8 on the iPhone x how much will I have to pay | @304982 @115913 Let's dive in and check out all our options for upgrading. Please DM us. https://t.co/lH0SH5fy2m *MikeRice
@TMobileHelp do you have to do the $300 trade-in in the store? Or are there other options | @305097 I love our $300 iPhone trade in offer! Send me a DM so we can go over the details. https://t.co/D4NKjfNwGQ *SultanGardezy
"When you change your # and it completely messes up your whole phone smh...thanks @115858 and @115714 im reduced to android capabilities 👎🏽 | @305320 Hi, please send a DM so that we can further assist you. -RA"
"I want a 256 GB but @115911 doesn't have any...hmm | @305625 Which iPhone are you looking for, Ty? We can get it ordered for you! DM us here so we can help out. *BlakeT"
@115913 how can I switch to T-Mobile and also preorder a iPhone X to get on release date?(four lines moving from @115725) | @305654 @115913 Hey! I'd love to see you make the switch! The iPhone X pre-order starts on 10/27! *AlissaFast
"Alright @ATT @115725 @115911 @115714 who is going to win me over with the iPhone X? 🤔 | @305678 Just wait until near the Pre Order date on 27/10, we promise we'll have the best deals for you! -DP https://t.co/rMApsVqrfy"
Hey @115714 I tried to get a new iPhone 8 today but the service was so horrible I just walked out of the store. | @277948 We apologize for the inconvenience caused at the store. Please visit https://t.co/1ce4njbAsO to view and purchase the iPhone 8 online. -KA
@115911 Joined Sunday w u. No data on new iphone for 2 days. 7 hrs and 11 staff can’t fix. Told to pay $5. Why is this my problem to fix?! | @306388 Hey Jason. This is definitely not how we want to start things off. Let's take a look and get things right. DM us and we'll chat *ErikS
"@115911 @TMobileHelp for the BOGO offer,  can I get an iPhone 8  plus and a second iPhone 8? Ty | @233903 Hey! I would love to get this AMAZING deal for you! Come and join me in a DM! https://t.co/GkKzSV0CsP *KerryS"
@115911 Good afternoon. I need help recovering a lost check for iphone 6. Approximate date of sale December 2014. IMEI __credit_card__ | @306695 We can definitely assist you with this! Please send us a DM and we will investigate this matter further. *HeatherSaenz
@115911 @TMobileHelp How do we unlock an iphone locked to your network? The phone is paid off already. Please advise. Thanks | @307176 I'd love to help out! Could you send us a DM? *TylerBrown
"Hey @115913, looking for a sweet deal on these two phones... Note 8 or iPhone 10. But I want both kidneys intact! 😁@TMobileHelp @115911 | @308634 @115913 Check out all of our available offers right here on our site! https://t.co/p6mO5INt1p *RachaelTansey"
